#Title: Empirical limb-darkening coefficients & transit parameters of known 
#       exoplanets from TESS
#Authors: Jayshil A. Patel and Néstor Espinoza
#Table: Various stellar properties of our targets.
#       The data was retrieved from the NASA Exoplanet Achieveon February 23, 
#       2021.
#================================================================================
#Byte-by-byte Description of file: table.dat
#--------------------------------------------------------------------------------
# Bytes Format Units  Label     Explanations
#--------------------------------------------------------------------------------
# 1- 8  A8     ---    name    Name of the host star                         
#10-15  F6.1   K      temp    [3036.0/8720.0] Effective temperature         
#17-22  F6.3   ---    mh      [-0.35/0.47] Metallicity                      
#24-28  F5.3   ---    logg    [3.58/5.06] Surface gravity (in log cgs units)
#30-32  A3     ---    vturb   Microturbulent veocity                        
#--------------------------------------------------------------------------------
#Notes:
#--------------------------------------------------------------------------------
WASP-141 5900.0 0.290  4.260 ...
KPS-1    5165.0 0.220  4.470 ...
HATS-47  4512.0 -0.113 4.630 ...
LHS1815  3643.0 -0.120 4.770 ...
WASP-95  5830.0 0.140  4.360 ...
TOI-132  5397.0 0.160  4.480 ...
K2-237   6099.0 0.000  4.270 ...
XO-6     6720.0 -0.070 4.040 ...
WASP-35  5990.0 -0.150 4.400 ...
HATS-68  6147.0 0.210  4.080 ...
HAT-P-55 5808.0 -0.030 4.430 ...
KELT-24  6509.0 0.186  4.250 ...
WASP-124 6050.0 -0.020 4.440 ...
HATS-28  5498.0 0.010  4.480 ...
WASP-142 6010.0 0.260  4.130 ...
WASP-13  5950.0 0.000  4.060 ...
HAT-P-70 8450.0 -0.059 4.180 ...
WASP-50  5400.0 0.120  4.540 ...
HAT-P-9  6350.0 0.120  4.290 ...
WASP-19  5568.0 0.150  4.450 ...
HATS-44  5080.0 0.320  4.510 ...
WASP-96  5540.0 0.140  4.420 ...
WASP-101 6380.0 0.200  4.310 ...
HATS-22  4803.0 0.000  4.640 ...
WASP-167 7000.0 0.100  4.130 ...
TOI-157  5404.0 0.240  4.280 ...
WASP-17  6550.0 -0.250 4.200 ...
TOI-677  6295.0 0.000  4.290 ...
WASP-169 6110.0 0.060  3.960 ...
KELT-20  8720.0 -0.290 4.290 ...
WASP-120 6450.0 -0.050 4.040 ...
WASP-71  6050.0 0.150  3.900 ...
HAT-P-18 4803.0 0.100  4.570 ...
HAT-P-12 4650.0 -0.290 4.610 ...
XO-1     5750.0 0.020  4.510 ...
TOI-251  5875.0 -0.106 4.560 ...
HATS-26  6071.0 -0.020 3.940 ...
HATS-40  6460.0 0.010  3.920 ...
CoRoT-32 5970.0 0.000  4.670 ...
WASP-92  6280.0 0.000  4.260 ...
WASP-105 5070.0 0.280  4.200 ...
TOI-237  3212.0 0.000  5.040 ...
HAT-P-34 6442.0 0.220  4.210 ...
WASP-72  6250.0 -0.060 4.090 ...
HATS-66  6626.0 -0.017 4.060 ...
HATS-25  5715.0 0.020  4.350 ...
TOI-1235 3872.0 0.050  4.650 ...
WASP-31  6302.0 0.200  4.310 ...
WASP-78  6100.0 -0.350 4.100 ...
HATS-43  5099.0 0.050  4.540 ...
WASP-91  4920.0 0.190  4.300 ...
WASP-106 6055.0 -0.090 4.230 ...
WASP-132 4775.0 0.220  4.610 ...
WASP-63  5550.0 0.080  4.010 ...
HAT-P-43 5645.0 0.230  4.370 ...
K2-261   5537.0 0.360  4.210 ...
HATS-2   5227.0 0.150  4.480 ...
WASP-117 6040.0 -0.110 4.280 ...
HAT-P-66 6002.0 0.035  3.990 ...
WASP-46  5600.0 -0.300 4.490 ...
Qatar-1  5013.0 0.171  4.550 ...
HATS-34  5380.0 0.250  4.430 ...
WASP-138 6272.0 -0.090 4.250 ...
WASP-29  4800.0 0.110  4.500 ...
WASP-131 6030.0 -0.180 4.090 ...
WASP-83  5510.0 0.290  4.440 ...
HATS-18  5600.0 0.280  4.440 ...
HATS-51  5758.0 0.000  4.200 ...
KELT-14  5720.0 0.320  4.170 ...
